gene_name,gene_id,n_snps,best_p,min_dist
Eip63F-1,FBgn0004910,14,1.782715093220485e-08,0
CG43462,FBgn0263416,1,5.00389587435812e-08,0
LysX,FBgn0004431,1,7.257528623655499e-08,235
Hrb98DE,FBgn0001215,4,1.1385191283470956e-07,0
snoRNA:Psi28S-3405c,FBgn0082958,4,1.1385191283470956e-07,0
CG8398,FBgn0035708,1,1.3086538177305844e-07,0
ACXE,FBgn0040506,2,2.5379036848468486e-07,0
CG4562,FBgn0038740,1,4.7264606283624407e-07,0
Art2,FBgn0031592,2,5.043753880228324e-07,0
tutl,FBgn0010473,2,5.043753880228324e-07,0
smi35A,FBgn0016930,1,5.382915198457091e-07,0
CG5447,FBgn0039427,1,5.90061870173805e-07,75
CG33158,FBgn0053158,9,6.430676149121323e-07,0
CG43373,FBgn0263131,11,6.52054499478944e-07,0
CG17780,FBgn0039197,1,6.524076158800172e-07,1127
XLOC_002142,XLOC_002142,1,6.545496353105702e-07,299
bnl,FBgn0014135,1,6.744340382390808e-07,0
CG5773,FBgn0034290,1,6.80560288682582e-07,97
CG31814,FBgn0051814,2,6.879486736102384e-07,0
CG42389,FBgn0259735,1,7.036642054960259e-07,0
st,FBgn0003515,1,7.279736416396208e-07,0
Rbp6,FBgn0260943,1,1.0220965528780692e-06,0
beat-Ia,FBgn0013433,1,1.0698019025872653e-06,0
CG6888,FBgn0036490,1,1.3384766891939975e-06,3207
nAcRalpha-30D,FBgn0032151,6,1.4314454937155316e-06,0
CG9990,FBgn0039594,1,1.4410341060381852e-06,0
XLOC_002608,XLOC_002608,1,1.444183433406606e-06,0
bru-3,FBgn0264001,3,1.444183433406606e-06,0
XLOC_001309,XLOC_001309,1,1.6435376502103185e-06,2931
sli,FBgn0264089,1,1.7096790064700167e-06,0
NepYr,FBgn0004842,1,1.8233670968530887e-06,0
CG42788,FBgn0261859,1,1.8454573021179735e-06,0
CG10713,FBgn0036360,3,2.236823264556451e-06,0
Arp1,FBgn0011745,3,2.279688251353212e-06,0
CG31347,FBgn0051347,3,2.279688251353212e-06,0
Ir84a,FBgn0037501,1,2.2987036067453478e-06,47
bab1,FBgn0004870,2,2.4516756680000864e-06,0
Ndg,FBgn0026403,1,2.5841635992607836e-06,44
Sema-2a,FBgn0011260,1,2.5866315827501603e-06,0
CR43625,FBgn0263616,1,2.5912365621363043e-06,1485
CG30053,FBgn0050053,1,2.688676405654588e-06,0
sano,FBgn0034408,2,2.829713179205611e-06,0
caps,FBgn0023095,1,2.9558403506425158e-06,0
mbl,FBgn0261642,1,3.1283501767934336e-06,0
CG4576,FBgn0038366,1,3.636327863133424e-06,0
rec,FBgn0003227,1,3.636327863133424e-06,0
XLOC_002249,XLOC_002249,1,3.7823766173995554e-06,0
Gem3,FBgn0011802,1,4.035009596996636e-06,0
XLOC_000602,XLOC_000602,1,4.221438961292014e-06,2540
Ac78C,FBgn0024150,1,4.560156620550963e-06,0
wah,FBgn0262527,1,4.560156620550963e-06,0
shot,FBgn0013733,2,4.618485092397441e-06,0
XLOC_000663,XLOC_000663,1,4.849114579790692e-06,1709
roq,FBgn0036621,1,4.9477195346387696e-06,0
cu,FBgn0261808,1,4.993739347082945e-06,0
vn,FBgn0003984,2,5.246854695362467e-06,0
pHCl,FBgn0264908,1,5.343103109908884e-06,0
YT521-B,FBgn0027616,1,5.506645868133058e-06,0
Msp-300,FBgn0261836,1,5.536422013843708e-06,0
CG9430,FBgn0033097,1,5.65654440700305e-06,0
CG31826,FBgn0051826,1,6.425092849580945e-06,0
CG15803,FBgn0038606,2,6.555900358753963e-06,0
