gene_name,gene_id,n_snps,best_p,min_dist
CG42389,FBgn0259735,3,1.5693246257198278e-09,0
pdm3,FBgn0261588,6,3.855158761012933e-08,0
Ir92a,FBgn0038789,2,4.575738603043184e-08,0
shep,FBgn0052423,3,1.1902750665005086e-07,0
CG2121,FBgn0033289,6,1.4532667717608445e-07,0
snRNP-U1-70K,FBgn0016978,7,2.580893747773939e-07,0
Cka,FBgn0044323,1,5.139652515001338e-07,0
CG7367,FBgn0031976,1,5.139652515001338e-07,0
smt3,FBgn0264922,3,5.207887839211795e-07,0
CG3430,FBgn0031875,4,5.207887839211795e-07,0
CG31826,FBgn0051826,4,5.48851572062641e-07,0
Coprox,FBgn0021944,3,5.977775923185515e-07,245
uif,FBgn0031879,8,7.106602989711549e-07,0
XLOC_001358,XLOC_001358,5,7.39541440660157e-07,1158
XLOC_002842,XLOC_002842,1,8.253086526631487e-07,3838
shot,FBgn0013733,2,1.1751227137660336e-06,0
XLOC_000623,XLOC_000623,1,1.2304663611263413e-06,395
CG15269,FBgn0028878,1,1.5044234667052425e-06,4169
Snoo,FBgn0085450,1,1.5098515936236786e-06,0
SA,FBgn0020616,16,1.5596340540494823e-06,0
wee,FBgn0011737,2,1.5655440651659038e-06,0
CG13773,FBgn0042092,4,1.5655440651659038e-06,0
CG8398,FBgn0035708,1,1.687176550478256e-06,0
CG18304,FBgn0031869,5,1.6993265355674333e-06,0
Hex-t1,FBgn0042711,2,1.737492120181563e-06,0
cv-2,FBgn0000395,2,1.85128274697206e-06,0
CG10158,FBgn0031871,1,1.8516348732468107e-06,0
ckn,FBgn0033987,1,2.0107614657810886e-06,0
form3,FBgn0053556,1,2.352972179371993e-06,0
tx,FBgn0263118,1,2.3960652572604917e-06,27
XLOC_002298,XLOC_002298,1,2.817336240477508e-06,139
Ndae1,FBgn0259111,1,2.9063285033212184e-06,0
Nipped-B,FBgn0026401,1,2.9484774840731064e-06,0
CG13579,FBgn0035010,2,2.951265061477586e-06,0
neuroligin,FBgn0031866,9,3.0678492548552037e-06,0
Tdc2,FBgn0050446,1,3.2226283502762873e-06,0
CG9422,FBgn0033092,1,3.2226283502762873e-06,0
sip2,FBgn0031878,2,3.4019390709323085e-06,0
Atac1,FBgn0031876,1,3.4019390709323085e-06,0
Hrb27C,FBgn0004838,5,3.569431290325969e-06,0
dp,FBgn0053196,2,3.6298192588706886e-06,0
Sdc,FBgn0010415,1,3.6812946480556033e-06,0
tnc,FBgn0039257,1,3.7745305702255977e-06,0
Eb1,FBgn0027066,1,3.848160300625855e-06,0
CG17568,FBgn0032763,5,3.978903316072033e-06,0
GABA-B-R1,FBgn0260446,1,3.995043309600643e-06,0
sick,FBgn0263873,1,4.197201596324049e-06,0
CR43414,FBgn0263333,1,4.229897610677288e-06,0
CR43727,FBgn0263975,2,4.294919146532853e-06,0
XLOC_000429,XLOC_000429,1,4.594769130914437e-06,0
XLOC_004288,XLOC_004288,1,4.72320627430226e-06,470
BBS1,FBgn0035741,1,4.834842324159931e-06,0
CG13101,FBgn0032084,1,5.040990925531337e-06,0
oa2,FBgn0038980,1,5.056525482541641e-06,0
Ca-alpha1D,FBgn0001991,1,5.118492400580329e-06,0
sm,FBgn0003435,1,5.1668365654227e-06,0
XLOC_000602,XLOC_000602,1,5.182940808784999e-06,2540
CG7565,FBgn0035833,1,5.2070185639670965e-06,0
Ect4,FBgn0262579,1,5.2070185639670965e-06,0
Rat1,FBgn0031868,1,5.209446484936759e-06,0
CG4580,FBgn0032585,1,5.334160007183581e-06,0
CR43856,FBgn0264438,1,5.334160007183581e-06,1859
CG43373,FBgn0263131,2,5.479301996735399e-06,0
5-HT1A,FBgn0004168,1,5.559160913022121e-06,0
Lar,FBgn0000464,4,5.737889817246521e-06,0
CR43753,FBgn0264084,1,5.855646740665071e-06,0
Gas41,FBgn0031873,1,5.954626624585248e-06,0
Mio,FBgn0032940,1,6.040696726964029e-06,0
ihog,FBgn0031872,3,6.368903090364675e-06,0
YT521-B,FBgn0027616,2,6.787997656243265e-06,237
CG15279,FBgn0028886,3,6.8379265583311825e-06,388
vn,FBgn0003984,2,6.983410930437777e-06,0
CG9109,FBgn0031765,1,7.08748447579838e-06,0
bru-3,FBgn0264001,2,7.360285982863009e-06,0
CG2127,FBgn0033286,1,7.783670058744041e-06,0
CG42261,FBgn0259146,1,7.86902713612107e-06,0
XLOC_002631,XLOC_002631,2,7.963593176622255e-06,168
CG7255,FBgn0036493,1,8.333612933306001e-06,3638
kst,FBgn0004167,1,8.444130316673208e-06,413
Alk,FBgn0040505,1,8.538561923310353e-06,0
CG30438,FBgn0050438,1,8.683192366081417e-06,0
jing,FBgn0086655,1,8.718858869478403e-06,0
CG15270,FBgn0028879,1,9.412057433455772e-06,3097
XLOC_001766,XLOC_001766,1,9.484047394228705e-06,1730
XLOC_005072,XLOC_005072,2,9.514059340429627e-06,0
cv-c,FBgn0086901,1,9.851390822545397e-06,0
CR43625,FBgn0263616,1,1.0019747180732286e-05,1485
CG5447,FBgn0039427,1,1.01105542021898e-05,75
XLOC_000519,XLOC_000519,1,1.0421075415769462e-05,0
Hex-t2,FBgn0042710,2,1.099768463973261e-05,63
Src42A,FBgn0264959,1,1.1346749396055694e-05,0
CG8216,FBgn0033358,1,1.1367633761284556e-05,0
CG33275,FBgn0035802,1,1.1416550179122784e-05,0
CG13674,FBgn0035858,1,1.1536156413472156e-05,42
CG10395,FBgn0033019,1,1.1607706663318301e-05,1560
caps,FBgn0023095,1,1.2425017840331963e-05,0
