gene_name,gene_id,n_snps,best_p,min_dist
CG13330,FBgn0033848,4,4.173113020824476e-13,0
Vmat,FBgn0260964,31,4.173113020824476e-13,0
CG13331,FBgn0033850,8,4.3047740965126173e-13,0
Sema-1a,FBgn0011259,1,4.353769512779025e-13,0
mars,FBgn0033845,2,2.968332216983485e-10,0
drk,FBgn0004638,1,2.968332216983485e-10,0
mip120,FBgn0033846,1,2.968332216983485e-10,0
CG14164,FBgn0036057,1,4.660864284501906e-10,0
CG6709,FBgn0036056,1,4.660864284501906e-10,0
LanB1,FBgn0261800,3,5.390459322844511e-10,0
CG42324,FBgn0259224,2,5.426328400552805e-10,0
CG43074,FBgn0262484,1,5.426328400552805e-10,0
CG34382,FBgn0085411,2,5.57827293770478e-10,0
Ir68a,FBgn0036150,2,5.57827293770478e-10,0
CG6707,FBgn0036058,1,5.57827293770478e-10,0
CG30083,FBgn0050083,2,5.57827293770478e-10,936
form3,FBgn0053556,3,5.57827293770478e-10,0
Taf2,FBgn0011836,4,5.602818754310671e-10,0
osm-1,FBgn0035317,1,5.612837082872104e-10,0
ImpL2,FBgn0001257,2,7.275852949162815e-10,0
XLOC_002586,XLOC_002586,2,1.3229990513050203e-09,3021
RpS3,FBgn0002622,1,2.2080314517723444e-09,668
CG4408,FBgn0039073,1,2.318681606287783e-09,671
DNApol-epsilon,FBgn0264326,1,2.318681606287783e-09,481
CG32392,FBgn0052392,1,2.3792037892213273e-09,0
CG13784,FBgn0031897,1,2.4324598032271435e-09,0
CG13325,FBgn0033792,1,2.4869947576731612e-09,0
kay,FBgn0001297,1,2.541408228917833e-09,0
CG7834,FBgn0039697,1,2.5518593568603536e-09,0
Pvf3,FBgn0085407,1,5.513378049210404e-09,1708
CG7115,FBgn0027515,2,5.658933698236875e-09,0
beat-VII,FBgn0250908,1,6.3114104889206556e-09,0
Tb,FBgn0243586,1,6.3114104889206556e-09,0
nudE,FBgn0036059,1,7.296183276014408e-09,0
dally,FBgn0263930,1,7.514852884032065e-09,0
CG32026,FBgn0052026,1,7.514852884032065e-09,0
CG15878,FBgn0035316,2,7.538928787215179e-09,821
CG32305,FBgn0052305,3,7.538928787215179e-09,0
app,FBgn0260941,1,9.104812481327285e-09,0
scrib,FBgn0263289,21,9.909703581135576e-09,0
CG14830,FBgn0035755,1,1.1461911203377063e-08,0
NK7.1,FBgn0024321,1,1.171527533192274e-08,0
nAcRalpha-96Aa,FBgn0000036,1,1.237522171017765e-08,0
cert,FBgn0027569,1,1.6954576303797627e-08,0
CG12970,FBgn0034047,1,2.1679361423782552e-08,0
Rbp6,FBgn0260943,1,2.1735493709847776e-08,0
XLOC_002082,XLOC_002082,1,2.2472277852372312e-08,640
Lsp1beta,FBgn0002563,1,2.2988011591339172e-08,369
CG31952,FBgn0051952,1,2.4772554400598845e-08,0
pgant2,FBgn0031530,1,2.4772554400598845e-08,0
CG44206,FBgn0265104,1,2.662610198752705e-08,0
CG42831,FBgn0262020,1,2.788149565863996e-08,120
wry,FBgn0051665,1,2.9095985783035237e-08,0
CG10474,FBgn0034427,2,3.1938620648749916e-08,0
Fur1,FBgn0004509,1,3.535653018692777e-08,0
XLOC_001310,XLOC_001310,1,3.637541976593998e-08,759
CR43431,FBgn0263379,1,3.90713669831687e-08,0
Roc2,FBgn0044020,8,3.937808783289971e-08,0
Rim,FBgn0053547,1,4.153023554790925e-08,1162
XLOC_001792,XLOC_001792,1,4.202244928591826e-08,1697
Nox,FBgn0085428,1,4.5514073976958954e-08,791
CG34354,FBgn0085383,5,4.637541688992833e-08,0
XLOC_005134,XLOC_005134,2,4.637541688992833e-08,0
Amy-p,FBgn0000079,1,4.815416169713271e-08,1641
XLOC_001366,XLOC_001366,1,4.815416169713271e-08,407
slo,FBgn0003429,1,4.8851257476580094e-08,0
CG34370,FBgn0085399,1,4.8880641425876606e-08,0
Hmgcr,FBgn0263782,1,4.9426097310052754e-08,0
Che-13,FBgn0031550,1,4.970200712865278e-08,170
XLOC_005037,XLOC_005037,1,5.073827755660747e-08,123
sls,FBgn0086906,1,5.288096656204268e-08,0
XLOC_002071,XLOC_002071,1,5.2988958962332335e-08,838
CG13954,FBgn0033405,1,5.858978529585146e-08,0
CG13739,FBgn0033403,1,5.858978529585146e-08,0
CG34451,FBgn0085480,1,6.532016812505747e-08,0
Naam,FBgn0051216,1,7.034536524382164e-08,0
ms(2)34Fe,FBgn0261529,1,7.05436904230238e-08,0
mir-276b,FBgn0262381,1,7.134958611306883e-08,2070
Rgk3,FBgn0085426,1,7.180318967389353e-08,1132
CG33281,FBgn0053281,1,7.180318967389353e-08,0
GABA-B-R1,FBgn0260446,1,7.360772029190502e-08,0
CG33310,FBgn0053310,1,7.360772029190502e-08,0
CG14545,FBgn0040602,1,7.91814814990655e-08,0
CG31459,FBgn0051459,2,7.958854598184448e-08,0
CG11192,FBgn0034507,1,8.010862169792761e-08,3373
GEFmeso,FBgn0050115,1,8.689618760976509e-08,0
CG43366,FBgn0263109,2,9.419959324083478e-08,0
CG43210,FBgn0262846,1,9.752111028161256e-08,3211
CG14535,FBgn0031955,4,1.0040247402444045e-07,0
side,FBgn0016061,1,1.006629934475501e-07,0
slp2,FBgn0004567,1,1.006629934475501e-07,3165
XLOC_004427,XLOC_004427,1,1.006629934475501e-07,0
