gene_name,gene_id,n_snps,best_p,min_dist
gek,FBgn0023081,7,2.7662573254291368e-08,0
snama,FBgn0086129,6,3.000808041780634e-08,0
XLOC_005147,XLOC_005147,3,6.001717573372876e-08,0
beg,FBgn0036691,2,6.24566307303906e-08,0
scaf6,FBgn0261872,1,8.900953812811318e-08,0
CG18208,FBgn0038653,1,1.021239318581249e-07,176
CG32052,FBgn0044328,3,1.1706550681765588e-07,0
aret,FBgn0000114,2,1.2453369677909088e-07,0
GstE11,FBgn0034354,1,1.4578224850531124e-07,2473
CR9162,FBgn0031778,2,1.5313741631143893e-07,142
Ir41a,FBgn0040849,1,1.595365650270788e-07,0
CG10131,FBgn0033949,1,1.9225606010615322e-07,2256
Gycbeta100B,FBgn0013973,20,1.9939226112481852e-07,0
CG15556,FBgn0039821,11,2.4716843347638974e-07,0
CG42497,FBgn0260223,1,4.6281108710433876e-07,0
Tim10,FBgn0027360,1,4.6281108710433876e-07,0
spir,FBgn0003475,1,5.537019303904519e-07,0
CG42673,FBgn0261555,6,7.84461769569092e-07,0
CG16786,FBgn0034974,1,9.572408948634658e-07,0
Crtc,FBgn0036746,1,1.1203410169718477e-06,0
ckn,FBgn0033987,1,1.1378725349161625e-06,0
CG31038,FBgn0051038,2,1.2616238172140959e-06,0
CheB93b,FBgn0051438,2,1.2726877518816836e-06,0
CG6966,FBgn0038286,1,1.4205930658281938e-06,0
5-HT7,FBgn0004573,3,1.6164603526207295e-06,0
zfh1,FBgn0004606,1,1.8455522499485321e-06,0
hipk,FBgn0035142,2,1.994937970052332e-06,0
psq,FBgn0263102,4,2.0933962016621365e-06,0
CG8494,FBgn0033916,3,2.1745452747324122e-06,0
CG17150,FBgn0035581,4,2.4726729139231604e-06,0
XLOC_002230,XLOC_002230,1,2.4995674766589047e-06,2033
beat-IIa,FBgn0038498,2,2.7853348917183833e-06,0
XLOC_005253,XLOC_005253,3,2.8523968721841645e-06,0
dlp,FBgn0041604,1,2.9419659238896875e-06,0
Zasp52,FBgn0083919,1,2.969841040909671e-06,0
Prosalpha3T,FBgn0261395,2,3.256063897945611e-06,0
CR43458,FBgn0263412,4,3.2636637019705406e-06,405
XLOC_004834,XLOC_004834,1,3.3497320146935567e-06,0
hoe1,FBgn0041150,1,3.38344028679694e-06,0
CG17230,FBgn0046225,1,3.5963335276274853e-06,0
sals,FBgn0051374,1,3.5963335276274853e-06,0
CG42686,FBgn0261572,1,3.618154080221231e-06,0
XLOC_000956,XLOC_000956,1,3.724168548205562e-06,8
cnc,FBgn0262975,2,3.814612031493173e-06,0
CG31226,FBgn0051226,3,4.500020373613028e-06,1290
btsz,FBgn0264754,6,4.606283097961468e-06,0
GstD8,FBgn0010044,1,4.7439096058857496e-06,398
CAH1,FBgn0027844,1,4.996612672979808e-06,0
XLOC_004766,XLOC_004766,3,5.036622542336129e-06,3824
CG10339,FBgn0034972,1,5.312281339996012e-06,0
Teh1,FBgn0037766,1,5.425095813764678e-06,0
Mmp2,FBgn0033438,1,5.460649745185798e-06,0
Dh31,FBgn0032048,1,5.603800671480512e-06,0
tRNA:CR31356,FBgn0051356,1,5.653468725918546e-06,505
PGRP-LA,FBgn0035975,1,5.807560463957287e-06,0
Ady43A,FBgn0026602,1,5.854122908697326e-06,1044
Grp,FBgn0036627,1,6.221218407049715e-06,0
XLOC_003469,XLOC_003469,1,6.231825971902287e-06,570
pyd,FBgn0262614,2,6.448049576773939e-06,0
Pex1,FBgn0013563,1,6.609540621813527e-06,0
CG3163,FBgn0034961,1,6.621436691970176e-06,0
nord,FBgn0050418,2,6.711670871325985e-06,0
Src42A,FBgn0264959,2,6.972912989135777e-06,0
CG9850,FBgn0034903,1,7.108352293760951e-06,0
SCAP,FBgn0033052,1,7.177110055702674e-06,0
AcCoAS,FBgn0012034,1,7.21765043467638e-06,0
CR44126,FBgn0264957,1,7.258156800538861e-06,157
Cht12,FBgn0050293,1,7.258156800538861e-06,0
wuc,FBgn0033770,1,7.26413933054059e-06,964
Gprk2,FBgn0261988,1,7.302403585616675e-06,0
CR44258,FBgn0265198,1,7.3555269013715775e-06,962
stops,FBgn0086704,3,7.4495977634173275e-06,0
LpR1,FBgn0066101,1,7.453192481511338e-06,0
Act42A,FBgn0000043,1,7.49651794723548e-06,211
CR43421,FBgn0263340,1,7.711485060381946e-06,3091
CG11318,FBgn0039818,1,7.803199163876266e-06,1846
CG34370,FBgn0085399,1,7.8504553037956e-06,0
msi,FBgn0011666,1,7.983919100417794e-06,0
CG42844,FBgn0262033,1,8.145152381343604e-06,0
Ggamma30A,FBgn0028433,1,8.405375948790802e-06,415
shot,FBgn0013733,1,8.705278464733205e-06,0
XLOC_003138,XLOC_003138,2,8.958066694864581e-06,0
CG30118,FBgn0050118,1,9.009475639503511e-06,0
bab2,FBgn0025525,1,9.052021296479805e-06,0
CG7720,FBgn0038652,1,9.145598428070455e-06,0
luna,FBgn0040765,2,9.304606186339051e-06,0
CG43188,FBgn0262817,1,9.304606186339051e-06,0
nmo,FBgn0011817,1,9.314580322972078e-06,0
byn,FBgn0011723,1,9.314580322972078e-06,0
St3,FBgn0265052,2,9.314580322972078e-06,0
pdm2,FBgn0004394,1,9.314580322972078e-06,0
salm,FBgn0261648,1,9.653044530850894e-06,4281
hdc,FBgn0010113,1,9.757840552366662e-06,0
klg,FBgn0017590,1,9.771960683625145e-06,772
XLOC_004992,XLOC_004992,1,9.837532459781797e-06,99
XLOC_000881,XLOC_000881,1,9.843157708144167e-06,2185
Fkbp13,FBgn0010470,1,9.925906162438258e-06,0
Dscam2,FBgn0265296,1,9.98372585754582e-06,0
CG14317,FBgn0038566,1,1.0108497057231275e-05,0
rk,FBgn0003255,2,1.0115106207501822e-05,0
XLOC_000936,XLOC_000936,1,1.0115106207501822e-05,0
CG33970,FBgn0053970,1,1.0315242202923743e-05,0
Apc,FBgn0015589,1,1.0385968122727367e-05,46
XLOC_005203,XLOC_005203,1,1.0451863676704957e-05,0
XLOC_000937,XLOC_000937,1,1.0539926663768013e-05,0
bru-3,FBgn0264001,1,1.0714817385041789e-05,0
tmod,FBgn0082582,1,1.075874510188375e-05,0
lmd,FBgn0039039,1,1.0878824855292078e-05,0
D,FBgn0000411,1,1.0916950333997404e-05,3331
