gene_name,gene_id,n_snps,best_p,min_dist
XLOC_005027,XLOC_005027,1,3.0694694499349994e-07,0
CG18266,FBgn0031724,3,5.411327306088677e-07,57
Ptp61F,FBgn0003138,3,6.525641735544877e-07,0
CG11920,FBgn0039274,1,7.355168077471298e-07,0
fz2,FBgn0016797,1,2.128012283319465e-06,0
CG17150,FBgn0035581,3,2.5396629400935957e-06,0
cnc,FBgn0262975,2,2.6667374272032504e-06,0
CG6424,FBgn0028494,1,2.9324883204846653e-06,0
CG12858,FBgn0033958,2,3.068720281140855e-06,173
Drip,FBgn0015872,1,3.0799646342900452e-06,34
CG4467,FBgn0039064,3,3.495067170364355e-06,0
CG14322,FBgn0038532,2,3.51125448564833e-06,0
Sulf1,FBgn0040271,1,3.5435698365854485e-06,0
dysc,FBgn0264006,1,3.5742432495456896e-06,0
XLOC_003452,XLOC_003452,1,3.5742432495456896e-06,0
Wbp2,FBgn0036318,2,4.040367730296675e-06,5
CG9715,FBgn0036668,1,4.4152485254644504e-06,0
mRpL45,FBgn0263863,1,4.589490039589109e-06,0
CG1887,FBgn0035290,2,4.6094239815755935e-06,0
CR43428,FBgn0263376,1,4.640597944884025e-06,0
loco,FBgn0020278,1,4.768082708143865e-06,0
XLOC_002257,XLOC_002257,3,4.839633569452488e-06,1838
th,FBgn0260635,1,4.844845668874405e-06,0
CG16798,FBgn0032856,1,5.02535193845531e-06,0
TyrR,FBgn0038542,1,5.6297235501393985e-06,0
TSG101,FBgn0036666,2,6.147285718849711e-06,120
CG44245,FBgn0265180,1,6.212142797993333e-06,0
Hs6st,FBgn0038755,1,6.346435128663418e-06,0
how,FBgn0264491,1,6.655467800542047e-06,0
CG17571,FBgn0259998,1,6.779870687901897e-06,2743
Dro,FBgn0010388,1,6.960892260846263e-06,184
XLOC_002273,XLOC_002273,2,7.007913957288354e-06,0
Alk,FBgn0040505,1,7.636070868086621e-06,191
rtGEF,FBgn0015803,2,7.940406521958894e-06,0
CG6295,FBgn0039471,4,8.153541225393714e-06,0
NepYr,FBgn0004842,4,8.153541225393714e-06,0
CG4066,FBgn0038011,1,8.263657566026061e-06,209
Cht7,FBgn0035398,1,8.36269338708606e-06,138
CG40470,FBgn0058470,2,8.421699696721904e-06,0
fru,FBgn0004652,1,8.664972342042515e-06,0
rpr,FBgn0011706,1,9.392638668507458e-06,4395
Cul-5,FBgn0039632,3,1.0534092916816947e-05,0
CG43955,FBgn0264606,1,1.0599769958403294e-05,0
sns,FBgn0024189,2,1.1253102522164663e-05,0
ana,FBgn0011746,1,1.1599021634511394e-05,0
CG8170,FBgn0033365,1,1.1761643269231342e-05,0
CG11873,FBgn0039633,2,1.1762868185487086e-05,0
XLOC_005148,XLOC_005148,2,1.2017394503020397e-05,1321
Gycbeta100B,FBgn0013973,1,1.2081817759969192e-05,0
CG13110,FBgn0032111,1,1.2114679249493242e-05,4207
synj,FBgn0034691,3,1.2303261797112964e-05,0
A2bp1,FBgn0052062,1,1.2587182070789718e-05,0
Gprk2,FBgn0261988,3,1.2737579802197947e-05,0
ImpE1,FBgn0001253,1,1.326317106564307e-05,0
sty,FBgn0014388,1,1.3730182547819712e-05,23
XLOC_004891,XLOC_004891,1,1.4161311213385217e-05,0
Naam,FBgn0051216,1,1.4161311213385217e-05,0
