GO_id,pathway,r,p,fdr,is_metabolic
GO:0034440,lipid oxidation,0.264,0.0002109091237304778,0.2252,True
GO:0019395,fatty acid oxidation,0.261,0.0002576176680401499,0.2252,True
GO:0006635,fatty acid beta-oxidation,0.261,0.00025913382341511836,0.2252,True
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.254,0.0003863307110894225,0.2518,True
GO:0002804,positive regulation of antifungal peptide production,0.229,0.0013670618964514705,0.2825,False
GO:0006119,oxidative phosphorylation,0.229,0.0013860566983666682,0.2825,False
GO:0022900,electron transport chain,0.228,0.0014778398689391753,0.2825,False
GO:0019646,aerobic electron transport chain,0.227,0.0015344968489266505,0.2825,False
GO:0070875,positive regulation of glycogen metabolic process,0.227,0.0015515402821260416,0.2825,True
GO:0042773,ATP synthesis coupled electron transport,0.227,0.0015653057876589289,0.2825,True
GO:0042775,mitochondrial ATP synthesis coupled electron transport,0.227,0.0015653057876589289,0.2825,True
GO:0022904,respiratory electron transport chain,0.227,0.0015653057876589289,0.2825,False
GO:1902369,negative regulation of RNA catabolic process,-0.226,0.0016085985723928245,0.2825,False
GO:0043489,RNA stabilization,-0.226,0.0016160018211031678,0.2825,False
GO:0043255,regulation of carbohydrate biosynthetic process,0.226,0.0016255852763900232,0.2825,True
GO:0030258,lipid modification,0.224,0.00176001035924228,0.2868,True
GO:0043200,response to amino acid,0.221,0.002095792878695997,0.3146,False
GO:0034389,lipid droplet organization,0.218,0.0024203121307177864,0.3146,True
GO:0009084,glutamate family amino acid biosynthetic process,0.216,0.0026144936268927567,0.3146,False
GO:0006086,pyruvate decarboxylation to acetyl-CoA,0.214,0.0028564730454641966,0.3146,False
GO:0006091,generation of precursor metabolites and energy,0.214,0.0028683965701656474,0.3146,True
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",0.214,0.0028818032104062576,0.3146,True
GO:0002788,regulation of antifungal peptide production,0.214,0.002907461711316958,0.3146,False
GO:0015980,energy derivation by oxidation of organic compounds,0.213,0.0030431226281960643,0.3146,True
GO:0120254,olefinic compound metabolic process,0.211,0.0033591094337499464,0.3146,True
GO:0010907,positive regulation of glucose metabolic process,0.211,0.003376998655585865,0.3146,True
GO:0009062,fatty acid catabolic process,0.209,0.003562848730730376,0.3146,True
GO:0072329,monocarboxylic acid catabolic process,0.208,0.0037061502490870887,0.3146,False
GO:0031503,protein-containing complex localization,-0.208,0.00371880451776095,0.3146,False
GO:0015986,proton motive force-driven ATP synthesis,0.207,0.0039043004951714298,0.3146,True
GO:0006754,ATP biosynthetic process,0.207,0.0039043004951714467,0.3146,True
GO:0170034,L-amino acid biosynthetic process,0.206,0.004202392865959696,0.3146,False
GO:0009060,aerobic respiration,0.205,0.004368780056930478,0.3146,False
GO:0009145,purine nucleoside triphosphate biosynthetic process,0.205,0.004405479516536775,0.3146,False
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.205,0.004405479516536775,0.3146,False
GO:0045333,cellular respiration,0.204,0.004483502052144442,0.3146,False
GO:0032881,regulation of polysaccharide metabolic process,0.203,0.004829264794793498,0.3146,True
GO:0070873,regulation of glycogen metabolic process,0.203,0.004829264794793498,0.3146,True
GO:0005981,regulation of glycogen catabolic process,0.202,0.004889205644269569,0.3146,True
GO:0019320,hexose catabolic process,0.202,0.004892723460030824,0.3146,False
GO:0001101,response to acid chemical,0.202,0.005068328459197099,0.3146,False
GO:0042180,ketone metabolic process,0.201,0.00508111982338232,0.3146,True
GO:0019432,triglyceride biosynthetic process,0.2,0.005405211947863848,0.3146,False
GO:0006743,ubiquinone metabolic process,0.199,0.005672519898314729,0.3146,True
GO:0006744,ubiquinone biosynthetic process,0.199,0.005672519898314729,0.3146,False
GO:1901663,quinone biosynthetic process,0.199,0.005672519898314729,0.3146,False
GO:1901661,quinone metabolic process,0.199,0.005672519898314729,0.3146,True
GO:0006103,2-oxoglutarate metabolic process,0.198,0.005983157589019522,0.325,True
GO:0042181,ketone biosynthetic process,0.193,0.007447654186274499,0.3962,False
GO:0010906,regulation of glucose metabolic process,0.192,0.007680366698060168,0.4,True
GO:0046365,monosaccharide catabolic process,0.191,0.008042349727897986,0.4,False
GO:0006801,superoxide metabolic process,0.191,0.00807248617362438,0.4,True
GO:0042430,indole-containing compound metabolic process,0.19,0.00835589815572334,0.4,True
GO:0006730,one-carbon metabolic process,0.19,0.008364984595691124,0.4,True
GO:0009074,aromatic amino acid catabolic process,0.189,0.008791762747748748,0.4,False
GO:0007608,sensory perception of smell,0.188,0.00884790399430009,0.4,False
GO:0046692,sperm competition,-0.188,0.00884810940633168,0.4,False
GO:0042572,retinol metabolic process,0.188,0.00909406601747368,0.4,True
GO:0061621,canonical glycolysis,0.188,0.009206084395792454,0.4,True
GO:0006007,glucose catabolic process,0.188,0.009206084395792454,0.4,True
