gene_id,gene_name,r,p,fdr
XLOC_031643,XLOC_031643,-0.31,2.2281772242730533e-05,0.2686
FBgn0003961,Uro,-0.293,6.481395021049234e-05,0.2686
FBgn0031990,CG8552,-0.291,7.234395386676657e-05,0.2686
FBgn0023479,Tequila,-0.289,8.270281053248673e-05,0.2686
XLOC_020233,XLOC_020233,-0.288,9.05479319618692e-05,0.2686
XLOC_006261,XLOC_006261,-0.284,0.00011163937439986673,0.2686
XLOC_001857,XLOC_001857,-0.278,0.00015356922369848963,0.2686
FBgn0260855,Sec22,-0.277,0.00016236482213658187,0.2686
XLOC_004775,XLOC_004775,-0.277,0.00016673502844651218,0.2686
FBgn0086450,su(r),-0.275,0.0001826461432264214,0.2686
FBgn0035159,CG13896,0.275,0.00019033104479169367,0.2686
FBgn0032266,CG18302,0.273,0.00020489037542012305,0.2686
FBgn0044011,Spn43Ad,-0.27,0.0002531056518916994,0.3063
XLOC_025318,XLOC_025318,-0.264,0.00033541735341991537,0.3269
XLOC_027704,XLOC_027704,-0.264,0.00034346618969958255,0.3269
XLOC_019301,XLOC_019301,-0.264,0.00035045446878631325,0.3269
XLOC_006596,XLOC_006596,-0.263,0.000366943872491363,0.3269
FBgn0086359,Invadolysin,0.262,0.00037397350304483923,0.3269
FBgn0024740,Lip2,-0.258,0.0004706688624290367,0.3709
FBgn0011674,insc,-0.256,0.0005182862912784123,0.3709
FBgn0038002,CG12256,0.256,0.0005193443592281486,0.3709
FBgn0034318,CG14500,-0.256,0.000530326665532308,0.3709
FBgn0053514,CG33514,0.254,0.0005709633115283044,0.3709
XLOC_024365,XLOC_024365,-0.254,0.0005788706342527988,0.3709
FBgn0034440,CG10073,0.253,0.0006069002621779835,0.3709
XLOC_006583,XLOC_006583,-0.252,0.000632614139913346,0.3709
XLOC_024161,XLOC_024161,-0.252,0.0006401203330963273,0.3709
XLOC_006368,XLOC_006368,-0.251,0.0006926521529602227,0.3709
FBgn0013949,Ela,-0.25,0.0007095616923263494,0.3709
FBgn0043578,PGRP-SB1,-0.25,0.0007107429893687194,0.3709
XLOC_031447,XLOC_031447,0.249,0.0007540140989768193,0.3709
FBgn0266702,FBgn0266702,0.249,0.0007544287613637579,0.3709
XLOC_026397,XLOC_026397,-0.246,0.0008594807589976019,0.3932
FBgn0263759,CG43676,-0.246,0.0008934800627780932,0.3932
FBgn0031406,Send1,-0.245,0.0009302424184221974,0.3932
FBgn0031170,CG1718,-0.245,0.0009337530825133884,0.3932
FBgn0083042,snoRNA:Psi18S-1854a,0.244,0.0009444641095802873,0.3932
FBgn0034087,clu,-0.243,0.00100807733914928,0.3932
XLOC_027031,XLOC_027031,-0.243,0.001022741962768717,0.3932
XLOC_023639,XLOC_023639,-0.243,0.0010265508264188823,0.3932
FBgn0037445,CG9727,-0.243,0.0010292314265623746,0.3932
XLOC_026563,XLOC_026563,-0.242,0.0010498469030259976,0.3932
FBgn0029688,lva,-0.241,0.0011269707191220312,0.4015
FBgn0063495,GstE5,-0.241,0.0011270752658534967,0.4015
FBgn0042186,CG17239,-0.24,0.0011485457770900253,0.4015
FBgn0053123,CG33123,-0.24,0.0011834935290974157,0.4026
FBgn0000723,Fps85D,0.24,0.0012029123102935502,0.4026
XLOC_014031,XLOC_014031,-0.237,0.0013643385071320567,0.4472
FBgn0029880,CG14443,-0.236,0.001460308148471141,0.4619
FBgn0039239,CG13641,-0.235,0.0015002955119470412,0.4619
