gene_id,gene_name,r,p,fdr
XLOC_012558,XLOC_012558,-0.323,9.458113239154071e-06,0.0927
XLOC_000720,XLOC_000720,-0.322,1.0500744936072835e-05,0.0927
XLOC_003940,XLOC_003940,-0.315,1.6122452470937473e-05,0.0927
XLOC_026565,XLOC_026565,-0.312,1.9982903636821426e-05,0.0927
XLOC_026771,XLOC_026771,-0.31,2.2745734715806508e-05,0.0927
XLOC_002664,XLOC_002664,-0.299,4.432331028854165e-05,0.1141
XLOC_021458,XLOC_021458,-0.299,4.58708857506192e-05,0.1141
XLOC_002667,XLOC_002667,-0.298,4.7175520014313106e-05,0.1141
XLOC_026563,XLOC_026563,-0.296,5.595266353067421e-05,0.1141
XLOC_024172,XLOC_024172,-0.296,5.5980180482273396e-05,0.1141
XLOC_027704,XLOC_027704,-0.291,7.260415691645528e-05,0.1345
FBgn0086906,sls,-0.287,9.423102747584027e-05,0.16
FBgn0052036,CG32036,-0.279,0.00014626931261763607,0.189
FBgn0030584,CG14407,0.278,0.00015368866831976175,0.189
XLOC_028147,XLOC_028147,-0.278,0.00015533341408608499,0.189
FBgn0051207,CG31207,-0.278,0.00015606198958205165,0.189
XLOC_011932,XLOC_011932,-0.278,0.00015765450785493556,0.189
XLOC_008071,XLOC_008071,-0.271,0.0002300528168001883,0.2449
XLOC_025586,XLOC_025586,-0.27,0.00024606997058180033,0.2449
XLOC_003941,XLOC_003941,-0.269,0.0002600859415232528,0.2449
XLOC_011731,XLOC_011731,-0.268,0.0002751222950371742,0.2449
XLOC_026566,XLOC_026566,-0.268,0.000277276492447088,0.2449
FBgn0043578,PGRP-SB1,-0.268,0.00027737956810846475,0.2449
XLOC_029144,XLOC_029144,-0.267,0.0002916357070658971,0.2449
XLOC_019412,XLOC_019412,-0.265,0.0003252179707460802,0.2449
FBgn0038820,CG4000,0.264,0.00033600638075464143,0.2449
FBgn0033504,CAP,-0.264,0.00034072299638246797,0.2449
FBgn0023212,Elongin-B,0.263,0.00035517470020943805,0.2449
XLOC_014134,XLOC_014134,-0.263,0.0003620322221863893,0.2449
FBgn0039557,CG12259,0.262,0.00038014267934374666,0.2449
FBgn0261836,Msp-300,-0.261,0.0004114961871645713,0.2449
XLOC_013020,XLOC_013020,0.26,0.00041335542690505586,0.2449
XLOC_026561,XLOC_026561,-0.26,0.00042232477459771677,0.2449
FBgn0264904,CR44095,-0.26,0.0004316747977882913,0.2449
XLOC_006061,XLOC_006061,-0.259,0.00043669013141772457,0.2449
FBgn0033826,CG4734,0.259,0.00044084704159486505,0.2449
FBgn0038234,mRpL11,0.259,0.0004447436663179806,0.2449
FBgn0032746,CG10470,0.255,0.000559354985049114,0.2898
XLOC_025543,XLOC_025543,-0.255,0.0005643236124548165,0.2898
FBgn0035159,CG13896,0.254,0.0005688682667584391,0.2898
FBgn0031992,CG8498,0.253,0.0006077959707229929,0.294
XLOC_004367,XLOC_004367,-0.253,0.0006093173219936145,0.294
FBgn0031310,CG4764,0.253,0.0006257486577618687,0.294
XLOC_029233,XLOC_029233,-0.252,0.0006349812907332469,0.294
XLOC_029033,XLOC_029033,-0.251,0.0006684962371843934,0.3014
FBgn0000395,cv-2,-0.25,0.0007026746792140833,0.3014
XLOC_011807,XLOC_011807,-0.25,0.0007036753592236461,0.3014
FBgn0034351,CG5190,0.249,0.0007403226598627431,0.3014
XLOC_027233,XLOC_027233,-0.249,0.0007429004802936068,0.3014
XLOC_001649,XLOC_001649,-0.248,0.0007719750685120738,0.3014
FBgn0037700,CG8149,0.248,0.0008081074335302946,0.3014
XLOC_006072,XLOC_006072,-0.247,0.0008104983395158268,0.3014
XLOC_026578,XLOC_026578,-0.247,0.000837796920910995,0.3014
XLOC_011600,XLOC_011600,-0.247,0.0008421437176421339,0.3014
FBgn0039159,mRpS24,0.247,0.0008433797895601184,0.3014
XLOC_026562,XLOC_026562,-0.247,0.0008442819750962092,0.3014
FBgn0264548,CR43927,-0.247,0.000847776194629334,0.3014
FBgn0263047,CG43342,0.246,0.0008579467006161988,0.3014
XLOC_011605,XLOC_011605,-0.246,0.0008811247543723825,0.3034
XLOC_019382,XLOC_019382,-0.245,0.0009047281036565501,0.3034
FBgn0023479,Tequila,-0.245,0.0009082727630520159,0.3034
XLOC_028496,XLOC_028496,-0.244,0.0009595187612345434,0.307
FBgn0024993,CG2662,0.244,0.0009622376644523346,0.307
XLOC_021212,XLOC_021212,-0.244,0.0009643383206205748,0.307
XLOC_019330,XLOC_019330,-0.244,0.0009864630070674017,0.3078
XLOC_005385,XLOC_005385,-0.243,0.0010005767529710561,0.3078
FBgn0038485,CG5255,-0.243,0.0010122262615864983,0.3078
XLOC_017546,XLOC_017546,-0.242,0.0010466679600871882,0.3091
FBgn0265747,FBgn0265747,-0.242,0.0010468240313943437,0.3091
FBgn0036274,CG4328,-0.241,0.0011173513851907902,0.3249
XLOC_031907,XLOC_031907,-0.241,0.0011399137671367072,0.3249
FBgn0250839,CG2016,0.24,0.0011553520541848395,0.3249
FBgn0266732,FBgn0266732,0.24,0.0011972864805395703,0.3249
XLOC_025609,XLOC_025609,-0.24,0.0011981550690235772,0.3249
XLOC_026560,XLOC_026560,-0.239,0.0012202552561035658,0.3249
FBgn0039802,dj-1beta,0.239,0.0012226692920313008,0.3249
XLOC_020204,XLOC_020204,-0.239,0.0012387277800433795,0.3249
FBgn0030230,Rph,0.239,0.0012438614912301835,0.3249
FBgn0030796,CG4829,0.239,0.001260231299887535,0.325
XLOC_007668,XLOC_007668,0.238,0.0012929320842860038,0.3289
FBgn0260855,Sec22,-0.237,0.0013527573172363615,0.3289
FBgn0263623,CR43632,-0.237,0.0013681447838488152,0.3289
FBgn0028645,beat-Ib,0.237,0.0013694874925812834,0.3289
XLOC_021651,XLOC_021651,-0.237,0.0013870487790783505,0.3289
XLOC_017266,XLOC_017266,-0.236,0.001394995146508099,0.3289
FBgn0264789,CR44019,-0.236,0.0014037278690953786,0.3289
FBgn0033519,CG11825,-0.236,0.0014093607489237656,0.3289
XLOC_011601,XLOC_011601,-0.236,0.0014345105442642855,0.3289
XLOC_001809,XLOC_001809,-0.236,0.0014366286933823926,0.3289
FBgn0265417,CG44329,0.235,0.0014741815790027916,0.3315
FBgn0030433,mRpL49,0.235,0.0014937303357084124,0.3315
XLOC_013622,XLOC_013622,-0.235,0.0015092593613954552,0.3315
XLOC_006070,XLOC_006070,-0.235,0.001512934608459078,0.3315
FBgn0263448,CR43471,-0.234,0.0015382017738493643,0.3334
XLOC_031274,XLOC_031274,-0.234,0.0015590027674124852,0.3344
FBgn0030098,CG12057,0.233,0.0016116474410630551,0.3365
FBgn0037703,JHDM2,-0.233,0.001633649729673416,0.3365
XLOC_014200,XLOC_014200,-0.233,0.001633709254265087,0.3365
XLOC_019425,XLOC_019425,-0.233,0.0016550362607927877,0.3365
FBgn0039305,CG11858,0.233,0.0016581614126241731,0.3365
FBgn0030707,CG8916,0.233,0.001682148321758054,0.3365
XLOC_027726,XLOC_027726,-0.232,0.0017064391257033955,0.3365
XLOC_006410,XLOC_006410,-0.232,0.0017178843586868222,0.3365
FBgn0035032,CG4692,0.232,0.0017236827316386286,0.3365
XLOC_022111,XLOC_022111,-0.232,0.0017650826578412598,0.3365
XLOC_021773,XLOC_021773,-0.231,0.001769478307955503,0.3365
FBgn0033129,Tsp42Eh,-0.231,0.0017810965299224373,0.3365
XLOC_011434,XLOC_011434,-0.231,0.0018068404247644954,0.3365
FBgn0032429,CG5446,0.231,0.0018125686176837822,0.3365
XLOC_011719,XLOC_011719,-0.231,0.0018167825162883446,0.3365
FBgn0039770,CG15537,0.231,0.0018428430013676567,0.3383
XLOC_018078,XLOC_018078,-0.229,0.0019474562617221329,0.3528
XLOC_021562,XLOC_021562,-0.229,0.0019566649823051854,0.3528
XLOC_002311,XLOC_002311,-0.229,0.001985248565673426,0.3548
FBgn0067629,CG33332,0.228,0.0020397980145525456,0.3593
FBgn0028429,I-2,0.228,0.002058876605137855,0.3593
