gene_id,gene_name,r,p,fdr
FBgn0040653,IM4,-0.342,8.681275772576989e-06,0.0829
FBgn0051075,CG31075,0.338,1.0539011342466819e-05,0.0829
FBgn0032026,CG7627,0.318,3.692048308434446e-05,0.1936
XLOC_007131,XLOC_007131,-0.301,9.773422567087509e-05,0.3301
FBgn0053514,CG33514,-0.297,0.00012425223674198923,0.3301
FBgn0032803,CG13082,-0.297,0.0001258967822941048,0.3301
FBgn0034703,CG3045,0.285,0.00023732392219208342,0.5108
FBgn0031261,nAcRbeta-21C,-0.282,0.00027367148051123027,0.5108
FBgn0035085,CG3770,0.278,0.0003356171812356612,0.5108
XLOC_027776,XLOC_027776,0.277,0.0003521978941527567,0.5108
FBgn0025583,IM2,-0.277,0.00036390846536944223,0.5108
FBgn0067905,IM14,-0.275,0.00038960080189619765,0.5108
FBgn0053453,CG33453,-0.273,0.0004334501742129528,0.5245
FBgn0039769,CG15534,0.271,0.0004918198622180731,0.5527
FBgn0031161,CG15445,0.269,0.000534563710778094,0.5557
XLOC_003974,XLOC_003974,0.268,0.0005651992769676509,0.5557
XLOC_011804,XLOC_011804,-0.265,0.0006589508485046328,0.5808
XLOC_027997,XLOC_027997,-0.264,0.0006960903708350149,0.5808
FBgn0262998,CR43306,-0.264,0.0007014892359114404,0.5808
FBgn0003390,shf,-0.261,0.0008101238528161527,0.5929
FBgn0263049,let-7-C,-0.26,0.000820589869855188,0.5929
FBgn0031703,CG12512,0.26,0.0008291478526378148,0.5929
FBgn0039487,gb,0.259,0.0008956457889776565,0.6126
FBgn0034095,CG15701,-0.256,0.0010036576022923844,0.6579
FBgn0051300,CG31300,-0.254,0.0010992548144275905,0.6917
FBgn0264382,CR43834,0.252,0.0012254393494981503,0.7352
FBgn0085411,CG34382,-0.251,0.0012827325596901655,0.7352
FBgn0051459,CG31459,-0.249,0.0014238143626575047,0.7352
XLOC_019364,XLOC_019364,0.248,0.0014592647452811177,0.7352
FBgn0085569,CG41242,0.247,0.0015056668842091283,0.7352
FBgn0040650,CG15456,0.247,0.0015198834320941576,0.7352
FBgn0034476,Toll-7,-0.247,0.001555015188468147,0.7352
XLOC_015096,XLOC_015096,0.246,0.0015875635378311058,0.7352
FBgn0030334,Karl,-0.246,0.0016186208486616053,0.7352
