gene_id,gene_name,r,p,fdr
FBgn0020309,crol,-0.282,5.912829776491445e-05,0.4731
FBgn0004509,Fur1,-0.282,6.014329984658734e-05,0.4731
XLOC_018843,XLOC_018843,0.271,0.00011946234756167588,0.6253
FBgn0053111,CG33111,-0.261,0.00021422989000653375,0.6253
FBgn0010905,Spn,-0.255,0.00030042659848119224,0.6253
FBgn0032409,Ced-12,-0.254,0.000316953704767435,0.6253
FBgn0002431,hyd,-0.245,0.0005244291561703012,0.6253
XLOC_015586,XLOC_015586,0.245,0.0005283640043033655,0.6253
FBgn0259685,crb,-0.241,0.0006357828386599637,0.6253
XLOC_014652,XLOC_014652,0.241,0.0006380470581905915,0.6253
FBgn0015907,bl,-0.237,0.0007969613326399136,0.6253
XLOC_011757,XLOC_011757,-0.237,0.0008177360221392855,0.6253
FBgn0261570,CG42684,-0.236,0.0008392321168229226,0.6253
FBgn0033482,CG1371,-0.235,0.000885499642363196,0.6253
FBgn0015269,Nf1,-0.234,0.0009332103146591044,0.6253
XLOC_010656,XLOC_010656,0.234,0.0009434819574565574,0.6253
FBgn0004425,LysB,0.233,0.000989244055426845,0.6253
XLOC_030778,XLOC_030778,-0.231,0.0011078660583606161,0.6253
FBgn0034529,CG16742,-0.23,0.0011297846280311722,0.6253
FBgn0033029,l(2)NC136,-0.23,0.001140476630402438,0.6253
XLOC_010510,XLOC_010510,-0.23,0.0011466264851111288,0.6253
FBgn0052767,CG32767,-0.23,0.0011607815207305716,0.6253
FBgn0263197,Patronin,-0.23,0.001169812281472316,0.6253
FBgn0265267,CG18258,-0.23,0.0011728488873912447,0.6253
FBgn0036165,chrb,-0.229,0.0011938007135912693,0.6253
FBgn0027660,blot,-0.229,0.001211616036175246,0.6253
FBgn0032477,CG5287,-0.229,0.0012181662616008993,0.6253
FBgn0003870,ttk,-0.228,0.0012657657936804012,0.6253
FBgn0266019,FBgn0266019,-0.228,0.001294340011036506,0.6253
XLOC_010711,XLOC_010711,-0.228,0.0013016412369694676,0.6253
FBgn0266721,FBgn0266721,0.227,0.0013187047177209443,0.6253
FBgn0052423,shep,-0.226,0.0013821793547689834,0.6253
FBgn0023407,B4,-0.226,0.0014337353981100543,0.6253
FBgn0041100,park,-0.225,0.001443792858594518,0.6253
FBgn0042134,Capr,-0.225,0.0014494594212977692,0.6253
FBgn0035544,CG15021,0.224,0.0015396196688487857,0.6253
FBgn0003048,pcx,-0.224,0.001577174578186278,0.6253
FBgn0039528,dsd,-0.224,0.0015781946623170805,0.6253
FBgn0038173,Adgf-C,0.223,0.0016159254797495522,0.6253
FBgn0259212,cno,-0.222,0.001690332242434784,0.6253
FBgn0013756,Mtor,-0.222,0.0017422323497518187,0.6253
FBgn0261556,CG42674,-0.221,0.0018360477090640435,0.6253
FBgn0034198,CG11400,0.22,0.0019154833067409388,0.6253
XLOC_011346,XLOC_011346,0.22,0.0019316734042773777,0.6253
XLOC_016891,XLOC_016891,0.219,0.0019449994320938327,0.6253
FBgn0032395,CG6734,-0.219,0.00195747187135924,0.6253
FBgn0264975,Nrg,-0.219,0.0019726553821394627,0.6253
FBgn0039858,CycG,-0.219,0.001996674176954085,0.6253
FBgn0037520,CG18268,-0.219,0.002029402100360702,0.6253
FBgn0051935,CG31935,-0.218,0.0020430970980528334,0.6253
FBgn0039008,CG6972,0.218,0.0020917751392552563,0.6253
FBgn0260003,Dys,-0.218,0.002093800983049575,0.6253
FBgn0032208,CG5604,-0.218,0.002106607077780669,0.6253
FBgn0262114,RanBPM,-0.217,0.00219056700598804,0.6382
FBgn0085370,Pde11,-0.216,0.0023479794159041723,0.6554
XLOC_013168,XLOC_013168,0.215,0.002362857920014548,0.6554
FBgn0063495,GstE5,-0.215,0.002374799362852049,0.6554
XLOC_026543,XLOC_026543,0.214,0.0024936010040602237,0.6555
FBgn0003277,RpII215,-0.214,0.0025361274327468358,0.6555
FBgn0260934,par-1,-0.214,0.00254320473973023,0.6555
FBgn0015949,hrg,-0.214,0.0025524952823937955,0.6555
FBgn0011217,eff,-0.214,0.0025864718400904862,0.6555
FBgn0013576,mtd,-0.213,0.002662225214256888,0.6555
FBgn0085443,spri,-0.213,0.0027040285122328445,0.6555
FBgn0040080,raps,-0.213,0.002708283053150715,0.6555
FBgn0000319,Chc,-0.212,0.002768376112863119,0.6599
FBgn0000273,Pka-C1,-0.21,0.0030021429000432693,0.662
FBgn0031118,RhoGAP19D,-0.21,0.003098891913572773,0.662
XLOC_008968,XLOC_008968,0.21,0.0031144653451408203,0.662
FBgn0032456,MRP,-0.209,0.003219599167304434,0.662
FBgn0262519,Mi-2,-0.209,0.003222565797215335,0.662
FBgn0034177,CG6796,-0.209,0.0032429902256797655,0.662
FBgn0004179,Csp,-0.209,0.0032514677355755294,0.662
FBgn0035397,CG11486,-0.208,0.0033182434166709094,0.662
FBgn0000581,E(Pc),-0.208,0.0033880701299323435,0.662
FBgn0032350,CG6287,-0.207,0.003443624524876298,0.662
FBgn0264820,CR44028,-0.207,0.003459009300838861,0.662
FBgn0083014,snoRNA:Psi18S-996,0.207,0.003495189329181507,0.662
FBgn0004187,snRNA:U1:95Cc,0.207,0.0035221465818084624,0.662
FBgn0039709,Cad99C,-0.206,0.00364892111950942,0.662
FBgn0053494,CG33494,0.206,0.0036566873036567435,0.662
XLOC_017984,XLOC_017984,-0.206,0.003681908885569686,0.662
FBgn0262081,Csk,-0.206,0.0036829747344064153,0.662
