gene_id,gene_name,r,p,fdr
FBgn0025595,GRHR,0.439,1.932099400947604e-10,0.0
FBgn0039151,CG13607,0.343,1.1443715790225706e-06,0.0068
FBgn0039114,Lsd-1,0.341,1.3040894508232097e-06,0.0068
FBgn0033446,CG1648,0.323,4.751783739100391e-06,0.015
FBgn0032297,CG17124,0.323,4.759858760191008e-06,0.015
FBgn0265915,FBgn0265915,0.319,6.662175022453569e-06,0.0175
FBgn0265068,CR44179,0.316,8.212328638221907e-06,0.0185
FBgn0053494,CG33494,0.312,1.0516132904345245e-05,0.0207
FBgn0037684,CG8129,0.309,1.333527408849383e-05,0.0233
FBgn0035186,CG13912,0.305,1.700657870130978e-05,0.0268
FBgn0015795,Rab7,0.291,4.121949148749635e-05,0.059
FBgn0028480,CG17841,0.285,6.267378181199915e-05,0.079
XLOC_009374,XLOC_009374,0.284,6.527535656663332e-05,0.079
FBgn0043791,CG8147,0.279,8.909749915727884e-05,0.1001
FBgn0039152,Rootletin,0.277,0.0001034577013453486,0.1033
XLOC_031447,XLOC_031447,0.276,0.0001050874252436748,0.1033
FBgn0031752,CG9044,0.271,0.00014100026498996802,0.1305
FBgn0036428,CG9238,0.269,0.00015790818665347453,0.138
FBgn0027560,Tps1,0.267,0.00018328206978300769,0.1395
FBgn0045468,Gr93d,-0.267,0.00018571594078909437,0.1395
FBgn0046685,Wsck,0.267,0.00018620033733802676,0.1395
FBgn0032869,CG17470,-0.265,0.00019864935696652997,0.1421
FBgn0036623,CG4729,0.258,0.0003093428482513696,0.2116
FBgn0033782,sug,0.255,0.0003498584966970035,0.2293
FBgn0037550,CG9667,-0.253,0.00039476197482228435,0.2484
FBgn0004622,Takr99D,0.25,0.0004732994734396109,0.2842
FBgn0034480,CG16898,0.249,0.0005094107142624799,0.2842
FBgn0032264,Lip4,0.248,0.0005206321575551086,0.2842
FBgn0033170,sPLA2,0.248,0.0005239136837998955,0.2842
FBgn0026428,HDAC6,0.246,0.0005827329187477678,0.3056
FBgn0050281,CG30281,0.245,0.000623815279420231,0.3083
FBgn0034387,Cyp12b2,0.245,0.0006270914902145621,0.3083
FBgn0050280,CG30280,0.243,0.0006803069493937046,0.3243
FBgn0053460,CG33460,0.241,0.0007466197377567779,0.3405
FBgn0036862,Gbs-76A,0.241,0.0007768078896587446,0.3405
FBgn0030575,CG5321,0.24,0.0008080005092265225,0.3405
FBgn0036286,CG10616,-0.24,0.0008134730606026633,0.3405
XLOC_011628,XLOC_011628,-0.239,0.0008277976601629568,0.3405
