gene_id,gene_name,r,p,fdr
FBgn0259682,Jabba,0.389,2.4858361078621756e-08,0.0005
FBgn0032264,Lip4,0.38,5.447571377429415e-08,0.0006
FBgn0025595,GRHR,0.371,1.1666395370574145e-07,0.0008
FBgn0004888,Scsalpha,0.363,2.369010905990876e-07,0.0012
FBgn0010383,Cyp18a1,0.355,4.436976373197242e-07,0.0018
FBgn0053494,CG33494,0.338,1.6152289553715988e-06,0.0055
FBgn0039151,CG13607,0.336,1.9094342133490866e-06,0.0056
FBgn0029831,CG5966,0.33,2.8599337505665504e-06,0.0073
FBgn0035811,CG12262,0.328,3.4849626561618593e-06,0.0079
FBgn0011283,Obp28a,0.314,9.117150407093057e-06,0.0186
FBgn0033446,CG1648,0.311,1.1170359923853579e-05,0.0193
FBgn0036428,CG9238,0.311,1.1353049212758605e-05,0.0193
FBgn0030013,GIIIspla2,0.307,1.5218358863785743e-05,0.0225
FBgn0041160,comm2,0.306,1.544479964620499e-05,0.0225
FBgn0037090,Est-Q,0.303,1.98192065602047e-05,0.0269
FBgn0010612,l(2)06225,0.298,2.676939599779265e-05,0.0326
FBgn0053087,LRP1,0.297,2.8769076758809346e-05,0.0326
FBgn0025352,Thiolase,0.297,2.88049959289952e-05,0.0326
FBgn0016715,Reg-2,0.295,3.1969979517171554e-05,0.0343
XLOC_016628,XLOC_016628,-0.293,3.784768153258737e-05,0.0386
FBgn0031505,CG12400,0.289,4.6929303365243256e-05,0.0451
FBgn0040793,CG7630,0.288,5.056301632244439e-05,0.0451
FBgn0039509,bigmax,0.288,5.089160637704749e-05,0.0451
FBgn0035046,CG3683,0.285,6.245640282582607e-05,0.0519
FBgn0033320,CG8586,0.284,6.36659903421346e-05,0.0519
FBgn0031066,CoVIb,0.283,6.80612005442953e-05,0.0533
XLOC_026910,XLOC_026910,-0.281,8.003784159263708e-05,0.0588
FBgn0051216,Naam,0.281,8.082243652174604e-05,0.0588
FBgn0032683,kon,-0.28,8.515685446572613e-05,0.0588
XLOC_013268,XLOC_013268,-0.279,8.657592069917775e-05,0.0588
FBgn0014391,sun,0.278,9.209032968634933e-05,0.0605
FBgn0015576,alpha-Est8,0.277,9.856027296097462e-05,0.0628
FBgn0261862,whd,0.276,0.00010560596625343772,0.064
FBgn0052230,CG32230,0.276,0.0001068405045406426,0.064
FBgn0031389,CG4259,0.275,0.000111627892718081,0.065
FBgn0038516,CG5840,0.273,0.0001291737659876629,0.0708
FBgn0029866,CG3842,0.272,0.0001327612218213282,0.0708
FBgn0034151,CG15617,0.272,0.00013572216754017058,0.0708
FBgn0036698,CG7724,0.272,0.00013589369144139987,0.0708
FBgn0032297,CG17124,0.272,0.0001390032756536799,0.0708
FBgn0011455,l(3)neo18,0.269,0.0001615045661139205,0.078
FBgn0029769,CG3239,0.269,0.00016502638936406045,0.078
FBgn0031449,CG31689,0.268,0.00016745227079917422,0.078
FBgn0027785,NP15.6,0.268,0.00017597756495944567,0.078
FBgn0035122,mRpL17,0.267,0.00018121393805560403,0.078
